0	1	2
NC_000024.10	2785625	0.0833
NC_000024.10	2789135	0.0833
NC_000024.10	2795663	0.1667
NC_000024.10	2795667	0.3333
NC_000024.10	2795902	0.0833
NC_000024.10	2797575	0.0833
NC_000024.10	2800478	0.0833
NC_000024.10	2800492	0.0833
NC_000024.10	2801375	0.1667
NC_000024.10	2801881	0.0833
NC_000024.10	2802413	0.0833
NC_000024.10	2803188	0.0833
NC_000024.10	2803515	0.0833
NC_000024.10	2803996	0.0833
NC_000024.10	2806583	0.0833
NC_000024.10	2807442	0.0833
NC_000024.10	2808695	0.0833
NC_000024.10	2811596	0.0833
NC_000024.10	2814818	0.0833
NC_000024.10	2815788	0.0833
NC_000024.10	2816706	0.0833
NC_000024.10	2818381	0.0833
NC_000024.10	2820573	0.0833
NC_000024.10	2820575	0.0833
NC_000024.10	2820577	0.0833
NC_000024.10	2820589	0.0833
NC_000024.10	2820590	0.0833
NC_000024.10	2820591	0.0833
NC_000024.10	2820593	0.0833
NC_000024.10	2820595	0.0833
NC_000024.10	2826230	0.0833
NC_000024.10	2827755	0.0833
NC_000024.10	2828186	0.0833
NC_000024.10	2834946	0.0833
NC_000024.10	2835236	0.0833
NC_000024.10	2837969	0.0833
NC_000024.10	2839818	0.0833
NC_000024.10	2839900	0.0833
NC_000024.10	2842113	0.0833
NC_000024.10	2844911	0.0833
NC_000024.10	2844915	0.0833
NC_000024.10	2851165	0.1667
NC_000024.10	2854465	0.0833
NC_000024.10	2856727	0.0833
NC_000024.10	2857374	0.1667
NC_000024.10	2860886	0.0833
NC_000024.10	2862782	0.0833
NC_000024.10	2865577	0.0833
NC_000024.10	2866813	0.0833
NC_000024.10	2867241	0.0833
NC_000024.10	2869367	0.1667
NC_000024.10	2869636	0.0833
NC_000024.10	2870232	0.0833
NC_000024.10	2871427	0.0833
NC_000024.10	2875713	0.0833
NC_000024.10	2876345	0.0833
NC_000024.10	2878182	0.0833
NC_000024.10	2882681	0.1667
NC_000024.10	2886129	0.0833
NC_000024.10	2886167	0.0833
NC_000024.10	2888430	0.0833
NC_000024.10	2888478	0.0833
NC_000024.10	2889629	0.0833
NC_000024.10	2891840	0.0833
NC_000024.10	2891863	0.0833
NC_000024.10	2891867	0.0833
NC_000024.10	2904887	0.0833
NC_000024.10	2905907	0.0833
NC_000024.10	2906628	0.0833
NC_000024.10	2907072	0.0833
NC_000024.10	2918191	0.1667
NC_000024.10	2919667	0.0833
NC_000024.10	2920585	0.0833
NC_000024.10	2920994	0.0833
NC_000024.10	2922104	0.0833
NC_000024.10	2922543	0.0833
NC_000024.10	2926038	0.0833
NC_000024.10	2926440	0.0833
NC_000024.10	2926633	0.1667
NC_000024.10	2927629	0.0833
NC_000024.10	2929697	0.0833
NC_000024.10	2930418	0.0833
NC_000024.10	2932673	0.0833
NC_000024.10	2933279	0.0833
NC_000024.10	2935256	0.1667
NC_000024.10	2939578	0.0833
NC_000024.10	2940441	0.0833
NC_000024.10	2941962	0.0833
NC_000024.10	2941964	0.0833
NC_000024.10	2944638	0.0833
NC_000024.10	2947390	0.0833
NC_000024.10	2950996	0.0833
NC_000024.10	2956685	0.3333
NC_000024.10	2959368	0.1667
NC_000024.10	2960669	0.0833
NC_000024.10	2963398	0.0833
NC_000024.10	2964866	0.0833
NC_000024.10	2968528	0.1667
NC_000024.10	2969620	0.0833
NC_000024.10	2974789	0.0833
NC_000024.10	2981801	0.0833
NC_000024.10	2981812	0.0833
NC_000024.10	2981813	0.0833
NC_000024.10	2981838	0.0833
NC_000024.10	2983276	0.0833
NC_000024.10	2985353	0.1667
NC_000024.10	2986409	0.0833
